SGD_name	Genes	gene_biotype	start_position	end_position	strand	length	status	chromosome_name	status_description
S000000120	YBL024W	ORF	172534	174588	1	2055	Verified	II	Active
S000000121	YBL025W	ORF	171481	171918	1	438	Verified	II	Active
S000000122	YBL026W	ORF	170623	171038	1	416	Verified	II	Active
S000000123	YBL027W	ORF	168423	169376	1	954	Verified	II	Active
S000000124	YBL028C	ORF	167518	167838	-1	321	Verified	II	Active
S000000125	YBL029W	ORF	166134	167264	1	1131	Uncharacterized	II	Active
S000000126	YBL030C	ORF	163041	163997	-1	957	Verified	II	Active
S000000127	YBL031W	ORF	161699	162715	1	1017	Verified	II	Active
S000000128	YBL032W	ORF	160184	161329	1	1146	Verified	II	Active
S000000129	YBL033C	ORF	158656	159693	-1	1038	Verified	II	Active
S000000130	YBL034C	ORF	153848	158389	-1	4542	Verified	II	Active
S000000131	YBL035C	ORF	151493	153610	-1	2118	Verified	II	Active
S000000132	YBL036C	ORF	150447	151220	-1	774	Verified	II	Active
S000000133	YBL037W	ORF	147209	150286	1	3078	Verified	II	Active
S000000134	YBL038W	ORF	146187	146885	1	699	Verified	II	Active
S000000135	YBL039C	ORF	143989	145728	-1	1740	Verified	II	Active
S000000136	YBL040C	ORF	142112	142868	-1	757	Verified	II	Active
S000000137	YBL041W	ORF	141247	141972	1	726	Verified	II	Active
S000000138	YBL042C	ORF	138341	140260	-1	1920	Verified	II	Active
S000000139	YBL043W	ORF	136688	137461	1	774	Verified	II	Active
S000000140	YBL044W	ORF	135998	136366	1	369	Uncharacterized	II	Active
S000000141	YBL045C	ORF	134143	135516	-1	1374	Verified	II	Active
S000000142	YBL046W	ORF	132424	133749	1	1326	Verified	II	Active
S000000143	YBL047C	ORF	127895	132040	-1	4146	Verified	II	Active
S000000145	YBL049W	ORF	126828	127244	1	417	Verified	II	Active
S000000146	YBL050W	ORF	125125	126119	1	995	Verified	II	Active
S000000147	YBL051C	ORF	122753	124759	-1	2007	Verified	II	Active
S000000148	YBL052C	ORF	119379	121874	-1	2496	Verified	II	Active
S000000150	YBL054W	ORF	117589	119166	1	1578	Verified	II	Active
S000000151	YBL055C	ORF	115573	116829	-1	1257	Verified	II	Active
S000000152	YBL056W	ORF	113762	115168	1	1407	Verified	II	Active
S000000153	YBL057C	ORF	112801	113427	-1	627	Verified	II	Active
S000000154	YBL058W	ORF	111437	112708	1	1272	Verified	II	Active
S000000155	YBL059W	ORF	110594	111244	1	651	Uncharacterized	II	Active
S000000156	YBL060W	ORF	107932	109995	1	2064	Verified	II	Active
S000000157	YBL061C	ORF	105316	107406	-1	2091	Verified	II	Active
S000000159	YBL063W	ORF	101886	105221	1	3336	Verified	II	Active
S000000160	YBL064C	ORF	100371	101156	-1	786	Verified	II	Active
S000000162	YBL066C	ORF	96669	100115	-1	3447	Verified	II	Active
S000000163	YBL067C	ORF	93639	95882	-1	2244	Verified	II	Active
S000000164	YBL068W	ORF	92414	93394	1	981	Verified	II	Active
S000000165	YBL069W	ORF	90741	92030	1	1290	Verified	II	Active
S000000167	YBL071C	ORF	90223	90531	-1	309	Uncharacterized	II	Active
S000000168	YBL072C	ORF	88523	89125	-1	603	Verified	II	Active
S000000170	YBL074C	ORF	86722	87789	-1	1068	Verified	II	Active
S000000171	YBL075C	ORF	84499	86448	-1	1950	Verified	II	Active
S000000172	YBL076C	ORF	81043	84261	-1	3219	Verified	II	Active
S000000174	YBL078C	ORF	80378	80731	-1	354	Verified	II	Active
S000000175	YBL079W	ORF	75259	79767	1	4509	Verified	II	Active
S000000176	YBL080C	ORF	73070	74695	-1	1626	Verified	II	Active
S000000177	YBL081W	ORF	71866	72972	1	1107	Uncharacterized	II	Active
S000000178	YBL082C	ORF	69751	71127	-1	1377	Verified	II	Active
S000000180	YBL084C	ORF	67169	69445	-1	2277	Verified	II	Active
S000000181	YBL085W	ORF	63876	66818	1	2943	Verified	II	Active
S000000182	YBL086C	ORF	61202	62602	-1	1401	Uncharacterized	II	Active
S000000183	YBL087C	ORF	59822	60739	-1	918	Verified	II	Active
S000000184	YBL088C	ORF	51019	59382	-1	8364	Verified	II	Active
S000000185	YBL089W	ORF	49574	50953	1	1380	Verified	II	Active
S000000186	YBL090W	ORF	48825	49358	1	534	Verified	II	Active
S000000187	YBL091C	ORF	47363	48628	-1	1266	Verified	II	Active
S000000188	YBL092W	ORF	45978	46370	1	393	Verified	II	Active
S000000189	YBL093C	ORF	44256	44918	-1	663	Verified	II	Active
S000000191	YBL095W	ORF	43277	44089	1	813	Uncharacterized	II	Active
S000000193	YBL097W	ORF	40831	43095	1	2265	Verified	II	Active
S000000194	YBL098W	ORF	39145	40527	1	1383	Verified	II	Active
S000000195	YBL099W	ORF	37053	38690	1	1638	Verified	II	Active
S000000197	YBL101C	ORF	24946	28299	-1	3354	Verified	II	Active
S000000198	YBL102W	ORF	24098	24745	1	648	Verified	II	Active
S000000199	YBL103C	ORF	22076	23536	-1	1461	Verified	II	Active
S000000200	YBL104C	ORF	18177	21293	-1	3117	Verified	II	Active
S000000201	YBL105C	ORF	14241	17696	-1	3456	Verified	II	Active
S000000202	YBL106C	ORF	10847	13879	-1	3033	Verified	II	Active
S000000203	YBL107C	ORF	9961	10551	-1	591	Verified	II	Active
S000000205	YBR001C	ORF	238941	241283	-1	2343	Verified	II	Active
S000000206	YBR002C	ORF	241708	242568	-1	861	Verified	II	Active
S000000207	YBR003W	ORF	242809	244230	1	1422	Verified	II	Active
S000000208	YBR004C	ORF	244366	245667	-1	1302	Verified	II	Active
S000000209	YBR005W	ORF	245906	246547	1	642	Verified	II	Active
S000000210	YBR006W	ORF	247010	248503	1	1494	Verified	II	Active
S000000211	YBR007C	ORF	248806	251016	-1	2211	Verified	II	Active
S000000212	YBR008C	ORF	252563	254209	-1	1647	Verified	II	Active
S000000213	YBR009C	ORF	255373	255684	-1	312	Verified	II	Active
S000000214	YBR010W	ORF	256331	256741	1	411	Verified	II	Active
S000000215	YBR011C	ORF	257112	257975	-1	864	Verified	II	Active
S000000217	YBR013C	ORF	265492	265881	-1	390	Uncharacterized	II	Active
S000000218	YBR014C	ORF	266725	267336	-1	612	Verified	II	Active
S000000219	YBR015C	ORF	267710	269503	-1	1794	Verified	II	Active
S000000220	YBR016W	ORF	270247	270633	1	387	Verified	II	Active
S000000221	YBR017C	ORF	270947	273703	-1	2757	Verified	II	Active
S000000222	YBR018C	ORF	274427	275527	-1	1101	Verified	II	Active
S000000223	YBR019C	ORF	276253	278352	-1	2100	Verified	II	Active
S000000224	YBR020W	ORF	279021	280607	1	1587	Verified	II	Active
S000000225	YBR021W	ORF	281443	283344	1	1902	Verified	II	Active
S000000226	YBR022W	ORF	283738	284271	1	534	Verified	II	Active
S000000227	YBR023C	ORF	284428	287925	-1	3498	Verified	II	Active
S000000228	YBR024W	ORF	289445	290350	1	906	Verified	II	Active
S000000229	YBR025C	ORF	290681	291865	-1	1185	Verified	II	Active
S000000230	YBR026C	ORF	292877	294019	-1	1143	Verified	II	Active
S000000231	YBR027C	ORF	294024	294356	-1	333	Uncharacterized	II	Active
S000000232	YBR028C	ORF	294425	296002	-1	1578	Verified	II	Active
S000000233	YBR029C	ORF	296369	297742	-1	1374	Verified	II	Active
S000000234	YBR030W	ORF	298292	299950	1	1659	Verified	II	Active
S000000235	YBR031W	ORF	300166	301254	1	1089	Verified	II	Active
S000000236	YBR032W	ORF	301519	301821	1	303	Uncharacterized	II	Active
S000000237	YBR033W	ORF	301944	304703	1	2760	Uncharacterized	II	Active
S000000238	YBR034C	ORF	304930	305976	-1	1047	Verified	II	Active
S000000239	YBR035C	ORF	306269	306955	-1	687	Verified	II	Active
S000000240	YBR036C	ORF	309081	310313	-1	1233	Verified	II	Active
S000000241	YBR037C	ORF	310565	311452	-1	888	Verified	II	Active
S000000242	YBR038W	ORF	311898	314789	1	2892	Verified	II	Active
S000000243	YBR039W	ORF	315575	316510	1	936	Verified	II	Active
S000000244	YBR040W	ORF	316968	317864	1	897	Verified	II	Active
S000000245	YBR041W	ORF	318266	320275	1	2010	Verified	II	Active
S000000246	YBR042C	ORF	320416	321609	-1	1194	Verified	II	Active
S000000247	YBR043C	ORF	321876	323945	-1	2070	Verified	II	Active
S000000248	YBR044C	ORF	324341	326059	-1	1719	Verified	II	Active
S000000249	YBR045C	ORF	328173	330092	-1	1920	Verified	II	Active
S000000250	YBR046C	ORF	330507	331511	-1	1005	Verified	II	Active
S000000251	YBR047W	ORF	331833	332360	1	528	Uncharacterized	II	Active
S000000252	YBR048W	ORF	332831	333812	1	982	Verified	II	Active
S000000253	YBR049C	ORF	334386	336818	-1	2433	Verified	II	Active
S000000254	YBR050C	ORF	337183	338199	-1	1017	Verified	II	Active
S000000256	YBR052C	ORF	338720	339352	-1	633	Verified	II	Active
S000000257	YBR053C	ORF	339675	340751	-1	1077	Uncharacterized	II	Active
S000000258	YBR054W	ORF	343101	344135	1	1035	Verified	II	Active
S000000259	YBR055C	ORF	344602	347301	-1	2700	Verified	II	Active
S000000260	YBR056W	ORF	347879	349384	1	1506	Verified	II	Active
S000000261	YBR057C	ORF	352193	353293	-1	1101	Verified	II	Active
S000000262	YBR058C	ORF	353672	356017	-1	2346	Verified	II	Active
S000000263	YBR059C	ORF	356861	360187	-1	3327	Verified	II	Active
S000000264	YBR060C	ORF	360652	362514	-1	1863	Verified	II	Active
S000000265	YBR061C	ORF	364787	365719	-1	933	Verified	II	Active
S000000266	YBR062C	ORF	365976	366600	-1	625	Uncharacterized	II	Active
S000000267	YBR063C	ORF	366970	368184	-1	1215	Uncharacterized	II	Active
S000000269	YBR065C	ORF	368584	369678	-1	1095	Verified	II	Active
S000000270	YBR066C	ORF	370037	370699	-1	663	Verified	II	Active
S000000271	YBR067C	ORF	372103	372735	-1	633	Verified	II	Active
S000000272	YBR068C	ORF	373861	375690	-1	1830	Verified	II	Active
S000000273	YBR069C	ORF	376574	378433	-1	1860	Verified	II	Active
S000000274	YBR070C	ORF	379221	379934	-1	714	Verified	II	Active
S000000275	YBR071W	ORF	380411	381046	1	636	Verified	II	Active
S000000276	YBR072W	ORF	382030	382674	1	645	Verified	II	Active
S000000277	YBR073W	ORF	383112	385988	1	2877	Verified	II	Active
S000000278	YBR074W	ORF	386286	389216	1	2931	Verified	II	Active
S000000280	YBR076W	ORF	390227	391291	1	1065	Verified	II	Active
S000000281	YBR077C	ORF	391805	392293	-1	489	Verified	II	Active
S000000282	YBR078W	ORF	393123	394742	1	1620	Verified	II	Active
S000000283	YBR079C	ORF	395383	398277	-1	2895	Verified	II	Active
S000000284	YBR080C	ORF	398614	400890	-1	2277	Verified	II	Active
S000000285	YBR081C	ORF	401253	405251	-1	3999	Verified	II	Active
S000000286	YBR082C	ORF	406628	407169	-1	542	Verified	II	Active
S000000287	YBR083W	ORF	409169	410629	1	1461	Verified	II	Active
S000000288	YBR084W	ORF	411054	413981	1	2928	Verified	II	Active
S000000289	YBR085W	ORF	415983	416906	1	924	Verified	II	Active
S000000290	YBR086C	ORF	420201	423041	-1	2841	Verified	II	Active
S000000291	YBR087W	ORF	423765	424829	1	1065	Verified	II	Active
S000000292	YBR088C	ORF	424990	425766	-1	777	Verified	II	Active
S000000294	YBR090C	ORF	426333	427058	-1	726	Uncharacterized	II	Active
S000000295	YBR091C	ORF	427155	427484	-1	330	Verified	II	Active
S000000296	YBR092C	ORF	427698	429101	-1	1404	Verified	II	Active
S000000297	YBR093C	ORF	429548	430951	-1	1404	Verified	II	Active
S000000298	YBR094W	ORF	432036	434297	1	2262	Verified	II	Active
S000000299	YBR095C	ORF	434406	435698	-1	1293	Verified	II	Active
S000000300	YBR096W	ORF	436021	436713	1	693	Uncharacterized	II	Active
S000000301	YBR097W	ORF	436951	441315	1	4365	Verified	II	Active
S000000302	YBR098W	ORF	441515	443590	1	2076	Verified	II	Active
S000000305	YBR101C	ORF	443821	444693	-1	873	Verified	II	Active
S000000306	YBR102C	ORF	445062	447323	-1	2262	Verified	II	Active
S000000307	YBR103W	ORF	447709	449316	1	1608	Verified	II	Active
S000000308	YBR104W	ORF	449667	450656	1	990	Verified	II	Active
S000000309	YBR105C	ORF	450881	451969	-1	1089	Verified	II	Active
S000000310	YBR106W	ORF	452658	453224	1	567	Verified	II	Active
S000000311	YBR107C	ORF	453793	454530	-1	738	Verified	II	Active
S000000312	YBR108W	ORF	454822	457665	1	2844	Verified	II	Active
S000000313	YBR109C	ORF	457919	458362	-1	444	Verified	II	Active
S000000314	YBR110W	ORF	458872	460221	1	1350	Verified	II	Active
S000000315	YBR111C	ORF	461178	461873	-1	696	Verified	II	Active
S000000316	YBR112C	ORF	462870	465770	-1	2901	Verified	II	Active
S000000318	YBR114W	ORF	467248	469620	1	2373	Verified	II	Active
S000000319	YBR115C	ORF	469748	473926	-1	4179	Verified	II	Active
S000000321	YBR117C	ORF	474392	476437	-1	2046	Verified	II	Active
S000000322	YBR118W	ORF	477671	479047	1	1377	Verified	II	Active
S000000323	YBR119W	ORF	479338	480323	1	986	Verified	II	Active
S000000324	YBR120C	ORF	480435	480923	-1	489	Verified	II	Active
S000000325	YBR121C	ORF	481364	483367	-1	2004	Verified	II	Active
S000000326	YBR122C	ORF	483970	484503	-1	534	Verified	II	Active
S000000327	YBR123C	ORF	484742	486691	-1	1950	Verified	II	Active
S000000329	YBR125C	ORF	487199	488380	-1	1182	Verified	II	Active
S000000330	YBR126C	ORF	488905	490392	-1	1488	Verified	II	Active
S000000331	YBR127C	ORF	491269	492822	-1	1554	Verified	II	Active
S000000332	YBR128C	ORF	493081	494115	-1	1035	Verified	II	Active
S000000333	YBR129C	ORF	494353	495339	-1	987	Verified	II	Active
S000000334	YBR130C	ORF	495592	496869	-1	1278	Verified	II	Active
S000000335	YBR131W	ORF	497163	499277	1	2115	Verified	II	Active
S000000336	YBR132C	ORF	499652	501442	-1	1791	Verified	II	Active
S000000337	YBR133C	ORF	501804	504287	-1	2484	Verified	II	Active
S000000339	YBR135W	ORF	504854	505306	1	453	Verified	II	Active
S000000340	YBR136W	ORF	505668	512774	1	7107	Verified	II	Active
S000000341	YBR137W	ORF	513044	513583	1	540	Verified	II	Active
S000000342	YBR138C	ORF	513762	515336	-1	1575	Uncharacterized	II	Active
S000000343	YBR139W	ORF	515664	517190	1	1527	Verified	II	Active
S000000344	YBR140C	ORF	517350	526628	-1	9279	Verified	II	Active
S000000345	YBR141C	ORF	527025	528038	-1	1014	Verified	II	Active
S000000346	YBR142W	ORF	528317	530638	1	2322	Verified	II	Active
S000000347	YBR143C	ORF	530869	532182	-1	1314	Verified	II	Active
S000000349	YBR145W	ORF	533762	534817	1	1056	Verified	II	Active
S000000350	YBR146W	ORF	535260	536096	1	837	Verified	II	Active
S000000351	YBR147W	ORF	536575	537465	1	891	Verified	II	Active
S000000352	YBR148W	ORF	537876	539705	1	1830	Verified	II	Active
S000000353	YBR149W	ORF	539987	541021	1	1035	Verified	II	Active
S000000354	YBR150C	ORF	541209	544493	-1	3285	Verified	II	Active
S000000355	YBR151W	ORF	545028	545978	1	951	Verified	II	Active
S000000356	YBR152W	ORF	546376	547251	1	876	Verified	II	Active
S000000357	YBR153W	ORF	547460	548194	1	735	Verified	II	Active
S000000358	YBR154C	ORF	548362	549009	-1	648	Verified	II	Active
S000000359	YBR155W	ORF	549771	550928	1	1158	Verified	II	Active
S000000360	YBR156C	ORF	551104	553200	-1	2097	Verified	II	Active
S000000361	YBR157C	ORF	553543	554310	-1	768	Verified	II	Active
S000000362	YBR158W	ORF	556549	558198	1	1650	Verified	II	Active
S000000363	YBR159W	ORF	558685	559728	1	1044	Verified	II	Active
S000000364	YBR160W	ORF	560078	560974	1	897	Verified	II	Active
S000000365	YBR161W	ORF	561634	562764	1	1131	Verified	II	Active
S000000366	YBR162C	ORF	563203	564570	-1	1368	Verified	II	Active
S000000367	YBR163W	ORF	565723	567480	1	1758	Verified	II	Active
S000000368	YBR164C	ORF	567875	568426	-1	552	Verified	II	Active
S000000369	YBR165W	ORF	568852	569685	1	834	Verified	II	Active
S000000370	YBR166C	ORF	569842	571200	-1	1359	Verified	II	Active
S000000371	YBR167C	ORF	571468	571890	-1	423	Verified	II	Active
S000000372	YBR168W	ORF	572371	573612	1	1242	Verified	II	Active
S000000373	YBR169C	ORF	573915	575996	-1	2082	Verified	II	Active
S000000374	YBR170C	ORF	576344	578086	-1	1743	Verified	II	Active
S000000375	YBR171W	ORF	578364	578984	1	621	Verified	II	Active
S000000376	YBR172C	ORF	579150	581372	-1	2223	Verified	II	Active
S000000377	YBR173C	ORF	581726	582172	-1	447	Verified	II	Active
S000000379	YBR175W	ORF	582408	583355	1	948	Verified	II	Active
S000000380	YBR176W	ORF	583720	584658	1	939	Verified	II	Active
S000000381	YBR177C	ORF	584807	586162	-1	1356	Verified	II	Active
S000000383	YBR179C	ORF	586547	589114	-1	2568	Verified	II	Active
S000000384	YBR180W	ORF	589741	591459	1	1719	Verified	II	Active
S000000385	YBR181C	ORF	591712	592774	-1	1063	Verified	II	Active
S000000386	YBR182C	ORF	593506	594864	-1	1359	Verified	II	Active
S000000387	YBR183W	ORF	596115	597065	1	951	Verified	II	Active
S000000388	YBR184W	ORF	597363	598934	1	1572	Uncharacterized	II	Active
S000000389	YBR185C	ORF	599123	599959	-1	837	Verified	II	Active
S000000390	YBR186W	ORF	600553	602360	1	1808	Verified	II	Active
S000000391	YBR187W	ORF	602634	603476	1	843	Verified	II	Active
S000000392	YBR188C	ORF	603685	604107	-1	423	Verified	II	Active
S000000393	YBR189W	ORF	604508	605508	1	1001	Verified	II	Active
S000000395	YBR191W	ORF	606270	607140	1	871	Verified	II	Active
S000000396	YBR192W	ORF	607652	608785	1	1134	Verified	II	Active
S000000397	YBR193C	ORF	609082	609753	-1	672	Verified	II	Active
S000000398	YBR194W	ORF	610038	610409	1	372	Verified	II	Active
S000000399	YBR195C	ORF	610614	611882	-1	1269	Verified	II	Active
S000000400	YBR196C	ORF	612236	613900	-1	1665	Verified	II	Active
S000000401	YBR197C	ORF	615203	615856	-1	654	Verified	II	Active
S000000402	YBR198C	ORF	616127	618523	-1	2397	Verified	II	Active
S000000403	YBR199W	ORF	618909	620303	1	1395	Verified	II	Active
S000000404	YBR200W	ORF	620872	622527	1	1656	Verified	II	Active
S000000405	YBR201W	ORF	623576	624211	1	636	Verified	II	Active
S000000406	YBR202W	ORF	625772	628309	1	2538	Verified	II	Active
S000000407	YBR203W	ORF	629168	631942	1	2775	Verified	II	Active
S000000408	YBR204C	ORF	632254	633381	-1	1128	Verified	II	Active
S000000409	YBR205W	ORF	633622	634836	1	1215	Verified	II	Active
S000000411	YBR207W	ORF	635146	636543	1	1398	Verified	II	Active
S000000412	YBR208C	ORF	636703	642210	-1	5508	Verified	II	Active
S000000414	YBR210W	ORF	645550	645978	1	429	Verified	II	Active
S000000415	YBR211C	ORF	646158	647132	-1	975	Verified	II	Active
S000000416	YBR212W	ORF	647886	649904	1	2019	Verified	II	Active
S000000417	YBR213W	ORF	650368	651192	1	825	Verified	II	Active
S000000418	YBR214W	ORF	651415	652998	1	1584	Verified	II	Active
S000000419	YBR215W	ORF	653356	655317	1	1962	Verified	II	Active
S000000420	YBR216C	ORF	655576	657600	-1	2025	Verified	II	Active
S000000421	YBR217W	ORF	657832	658392	1	561	Verified	II	Active
S000000422	YBR218C	ORF	658707	662249	-1	3543	Verified	II	Active
S000000423	YBR219C	ORF	662499	663303	-1	805	Uncharacterized	II	Active
S000000424	YBR220C	ORF	662995	664677	-1	1683	Uncharacterized	II	Active
S000000425	YBR221C	ORF	665153	666253	-1	1101	Verified	II	Active
S000000426	YBR222C	ORF	666720	668351	-1	1632	Verified	II	Active
S000000427	YBR223C	ORF	668663	670297	-1	1635	Verified	II	Active
S000000429	YBR225W	ORF	670627	673329	1	2703	Uncharacterized	II	Active
S000000431	YBR227C	ORF	673572	675134	-1	1563	Verified	II	Active
S000000432	YBR228W	ORF	675313	676227	1	915	Verified	II	Active
S000000433	YBR229C	ORF	676357	679221	-1	2865	Verified	II	Active
S000000434	YBR230C	ORF	679549	680050	-1	502	Verified	II	Active
S000000435	YBR231C	ORF	682179	683090	-1	912	Verified	II	Active
S000000437	YBR233W	ORF	683428	684669	1	1242	Verified	II	Active
S000000438	YBR234C	ORF	685438	686592	-1	1155	Verified	II	Active
